,labels,directory
0,1,dataset\CMATERdbTest\1\bcc000000.bmp
14,1,dataset\CMATERdbTest\1\bcc000014.bmp
12,1,dataset\CMATERdbTest\1\bcc000012.bmp
11,1,dataset\CMATERdbTest\1\bcc000011.bmp
10,1,dataset\CMATERdbTest\1\bcc000010.bmp
9,1,dataset\CMATERdbTest\1\bcc000009.bmp
8,1,dataset\CMATERdbTest\1\bcc000008.bmp
13,1,dataset\CMATERdbTest\1\bcc000013.bmp
6,1,dataset\CMATERdbTest\1\bcc000006.bmp
5,1,dataset\CMATERdbTest\1\bcc000005.bmp
4,1,dataset\CMATERdbTest\1\bcc000004.bmp
3,1,dataset\CMATERdbTest\1\bcc000003.bmp
2,1,dataset\CMATERdbTest\1\bcc000002.bmp
1,1,dataset\CMATERdbTest\1\bcc000001.bmp
7,1,dataset\CMATERdbTest\1\bcc000007.bmp
142,2,dataset\CMATERdbTest\2\bcc000026.bmp
141,2,dataset\CMATERdbTest\2\bcc000025.bmp
140,2,dataset\CMATERdbTest\2\bcc000024.bmp
139,2,dataset\CMATERdbTest\2\bcc000023.bmp
138,2,dataset\CMATERdbTest\2\bcc000022.bmp
135,2,dataset\CMATERdbTest\2\bcc000019.bmp
136,2,dataset\CMATERdbTest\2\bcc000020.bmp
134,2,dataset\CMATERdbTest\2\bcc000018.bmp
133,2,dataset\CMATERdbTest\2\bcc000017.bmp
143,2,dataset\CMATERdbTest\2\bcc000027.bmp
137,2,dataset\CMATERdbTest\2\bcc000021.bmp
144,2,dataset\CMATERdbTest\2\bcc000028.bmp
131,2,dataset\CMATERdbTest\2\bcc000015.bmp
132,2,dataset\CMATERdbTest\2\bcc000016.bmp
225,3,dataset\CMATERdbTest\3\bcc000030.bmp
224,3,dataset\CMATERdbTest\3\bcc000029.bmp
227,3,dataset\CMATERdbTest\3\bcc000032.bmp
228,3,dataset\CMATERdbTest\3\bcc000033.bmp
229,3,dataset\CMATERdbTest\3\bcc000034.bmp
230,3,dataset\CMATERdbTest\3\bcc000035.bmp
231,3,dataset\CMATERdbTest\3\bcc000036.bmp
233,3,dataset\CMATERdbTest\3\bcc000038.bmp
234,3,dataset\CMATERdbTest\3\bcc000039.bmp
236,3,dataset\CMATERdbTest\3\bcc000041.bmp
237,3,dataset\CMATERdbTest\3\bcc000042.bmp
238,3,dataset\CMATERdbTest\3\bcc000043.bmp
239,3,dataset\CMATERdbTest\3\bcc000044.bmp
226,3,dataset\CMATERdbTest\3\bcc000031.bmp
232,3,dataset\CMATERdbTest\3\bcc000037.bmp
235,3,dataset\CMATERdbTest\3\bcc000040.bmp
289,4,dataset\CMATERdbTest\4\bcc000058.bmp
290,4,dataset\CMATERdbTest\4\bcc000059.bmp
276,4,dataset\CMATERdbTest\4\bcc000045.bmp
288,4,dataset\CMATERdbTest\4\bcc000057.bmp
277,4,dataset\CMATERdbTest\4\bcc000046.bmp
291,4,dataset\CMATERdbTest\4\bcc000060.bmp
279,4,dataset\CMATERdbTest\4\bcc000048.bmp
280,4,dataset\CMATERdbTest\4\bcc000049.bmp
278,4,dataset\CMATERdbTest\4\bcc000047.bmp
282,4,dataset\CMATERdbTest\4\bcc000051.bmp
283,4,dataset\CMATERdbTest\4\bcc000052.bmp
284,4,dataset\CMATERdbTest\4\bcc000053.bmp
285,4,dataset\CMATERdbTest\4\bcc000054.bmp
