,labels,directory
0,1,data\CMATERdb\IsolatedTrain\1\bcc000000.bmp
133,1,data\CMATERdb\IsolatedTrain\1\bcc000133.bmp
134,1,data\CMATERdb\IsolatedTrain\1\bcc000134.bmp
135,1,data\CMATERdb\IsolatedTrain\1\bcc000135.bmp
136,1,data\CMATERdb\IsolatedTrain\1\bcc000136.bmp
137,1,data\CMATERdb\IsolatedTrain\1\bcc000137.bmp
138,1,data\CMATERdb\IsolatedTrain\1\bcc000138.bmp
139,1,data\CMATERdb\IsolatedTrain\1\bcc000139.bmp
140,1,data\CMATERdb\IsolatedTrain\1\bcc000140.bmp
141,1,data\CMATERdb\IsolatedTrain\1\bcc000141.bmp
142,1,data\CMATERdb\IsolatedTrain\1\bcc000142.bmp
132,1,data\CMATERdb\IsolatedTrain\1\bcc000132.bmp
143,1,data\CMATERdb\IsolatedTrain\1\bcc000143.bmp
145,1,data\CMATERdb\IsolatedTrain\1\bcc000145.bmp
146,1,data\CMATERdb\IsolatedTrain\1\bcc000146.bmp
148,1,data\CMATERdb\IsolatedTrain\1\bcc000148.bmp
149,1,data\CMATERdb\IsolatedTrain\1\bcc000149.bmp
150,1,data\CMATERdb\IsolatedTrain\1\bcc000150.bmp
151,1,data\CMATERdb\IsolatedTrain\1\bcc000151.bmp
152,1,data\CMATERdb\IsolatedTrain\1\bcc000152.bmp
153,1,data\CMATERdb\IsolatedTrain\1\bcc000153.bmp
154,1,data\CMATERdb\IsolatedTrain\1\bcc000154.bmp
155,1,data\CMATERdb\IsolatedTrain\1\bcc000155.bmp
144,1,data\CMATERdb\IsolatedTrain\1\bcc000144.bmp
156,1,data\CMATERdb\IsolatedTrain\1\bcc000156.bmp
131,1,data\CMATERdb\IsolatedTrain\1\bcc000131.bmp
129,1,data\CMATERdb\IsolatedTrain\1\bcc000129.bmp
107,1,data\CMATERdb\IsolatedTrain\1\bcc000107.bmp
108,1,data\CMATERdb\IsolatedTrain\1\bcc000108.bmp
109,1,data\CMATERdb\IsolatedTrain\1\bcc000109.bmp
110,1,data\CMATERdb\IsolatedTrain\1\bcc000110.bmp
111,1,data\CMATERdb\IsolatedTrain\1\bcc000111.bmp
112,1,data\CMATERdb\IsolatedTrain\1\bcc000112.bmp
113,1,data\CMATERdb\IsolatedTrain\1\bcc000113.bmp
114,1,data\CMATERdb\IsolatedTrain\1\bcc000114.bmp
115,1,data\CMATERdb\IsolatedTrain\1\bcc000115.bmp
116,1,data\CMATERdb\IsolatedTrain\1\bcc000116.bmp
130,1,data\CMATERdb\IsolatedTrain\1\bcc000130.bmp
117,1,data\CMATERdb\IsolatedTrain\1\bcc000117.bmp
119,1,data\CMATERdb\IsolatedTrain\1\bcc000119.bmp
120,1,data\CMATERdb\IsolatedTrain\1\bcc000120.bmp
121,1,data\CMATERdb\IsolatedTrain\1\bcc000121.bmp
122,1,data\CMATERdb\IsolatedTrain\1\bcc000122.bmp
123,1,data\CMATERdb\IsolatedTrain\1\bcc000123.bmp
124,1,data\CMATERdb\IsolatedTrain\1\bcc000124.bmp
125,1,data\CMATERdb\IsolatedTrain\1\bcc000125.bmp
126,1,data\CMATERdb\IsolatedTrain\1\bcc000126.bmp
127,1,data\CMATERdb\IsolatedTrain\1\bcc000127.bmp
128,1,data\CMATERdb\IsolatedTrain\1\bcc000128.bmp
118,1,data\CMATERdb\IsolatedTrain\1\bcc000118.bmp
157,1,data\CMATERdb\IsolatedTrain\1\bcc000157.bmp
158,1,data\CMATERdb\IsolatedTrain\1\bcc000158.bmp
159,1,data\CMATERdb\IsolatedTrain\1\bcc000159.bmp
187,1,data\CMATERdb\IsolatedTrain\1\bcc000187.bmp
188,1,data\CMATERdb\IsolatedTrain\1\bcc000188.bmp
189,1,data\CMATERdb\IsolatedTrain\1\bcc000189.bmp
190,1,data\CMATERdb\IsolatedTrain\1\bcc000190.bmp
191,1,data\CMATERdb\IsolatedTrain\1\bcc000191.bmp
192,1,data\CMATERdb\IsolatedTrain\1\bcc000192.bmp
193,1,data\CMATERdb\IsolatedTrain\1\bcc000193.bmp
194,1,data\CMATERdb\IsolatedTrain\1\bcc000194.bmp
195,1,data\CMATERdb\IsolatedTrain\1\bcc000195.bmp
196,1,data\CMATERdb\IsolatedTrain\1\bcc000196.bmp
186,1,data\CMATERdb\IsolatedTrain\1\bcc000186.bmp
197,1,data\CMATERdb\IsolatedTrain\1\bcc000197.bmp
199,1,data\CMATERdb\IsolatedTrain\1\bcc000199.bmp
200,1,data\CMATERdb\IsolatedTrain\1\bcc000200.bmp
201,1,data\CMATERdb\IsolatedTrain\1\bcc000201.bmp
202,1,data\CMATERdb\IsolatedTrain\1\bcc000202.bmp
203,1,data\CMATERdb\IsolatedTrain\1\bcc000203.bmp
204,1,data\CMATERdb\IsolatedTrain\1\bcc000204.bmp
205,1,data\CMATERdb\IsolatedTrain\1\bcc000205.bmp
206,1,data\CMATERdb\IsolatedTrain\1\bcc000206.bmp
207,1,data\CMATERdb\IsolatedTrain\1\bcc000207.bmp
208,1,data\CMATERdb\IsolatedTrain\1\bcc000208.bmp
198,1,data\CMATERdb\IsolatedTrain\1\bcc000198.bmp
185,1,data\CMATERdb\IsolatedTrain\1\bcc000185.bmp
184,1,data\CMATERdb\IsolatedTrain\1\bcc000184.bmp
183,1,data\CMATERdb\IsolatedTrain\1\bcc000183.bmp
160,1,data\CMATERdb\IsolatedTrain\1\bcc000160.bmp
161,1,data\CMATERdb\IsolatedTrain\1\bcc000161.bmp
162,1,data\CMATERdb\IsolatedTrain\1\bcc000162.bmp
163,1,data\CMATERdb\IsolatedTrain\1\bcc000163.bmp
164,1,data\CMATERdb\IsolatedTrain\1\bcc000164.bmp
165,1,data\CMATERdb\IsolatedTrain\1\bcc000165.bmp
166,1,data\CMATERdb\IsolatedTrain\1\bcc000166.bmp
167,1,data\CMATERdb\IsolatedTrain\1\bcc000167.bmp
168,1,data\CMATERdb\IsolatedTrain\1\bcc000168.bmp
169,1,data\CMATERdb\IsolatedTrain\1\bcc000169.bmp
170,1,data\CMATERdb\IsolatedTrain\1\bcc000170.bmp
171,1,data\CMATERdb\IsolatedTrain\1\bcc000171.bmp
172,1,data\CMATERdb\IsolatedTrain\1\bcc000172.bmp
173,1,data\CMATERdb\IsolatedTrain\1\bcc000173.bmp
174,1,data\CMATERdb\IsolatedTrain\1\bcc000174.bmp
175,1,data\CMATERdb\IsolatedTrain\1\bcc000175.bmp
176,1,data\CMATERdb\IsolatedTrain\1\bcc000176.bmp
177,1,data\CMATERdb\IsolatedTrain\1\bcc000177.bmp
178,1,data\CMATERdb\IsolatedTrain\1\bcc000178.bmp
179,1,data\CMATERdb\IsolatedTrain\1\bcc000179.bmp
180,1,data\CMATERdb\IsolatedTrain\1\bcc000180.bmp
181,1,data\CMATERdb\IsolatedTrain\1\bcc000181.bmp
182,1,data\CMATERdb\IsolatedTrain\1\bcc000182.bmp
106,1,data\CMATERdb\IsolatedTrain\1\bcc000106.bmp
105,1,data\CMATERdb\IsolatedTrain\1\bcc000105.bmp
147,1,data\CMATERdb\IsolatedTrain\1\bcc000147.bmp
103,1,data\CMATERdb\IsolatedTrain\1\bcc000103.bmp
28,1,data\CMATERdb\IsolatedTrain\1\bcc000028.bmp
29,1,data\CMATERdb\IsolatedTrain\1\bcc000029.bmp
30,1,data\CMATERdb\IsolatedTrain\1\bcc000030.bmp
31,1,data\CMATERdb\IsolatedTrain\1\bcc000031.bmp
32,1,data\CMATERdb\IsolatedTrain\1\bcc000032.bmp
33,1,data\CMATERdb\IsolatedTrain\1\bcc000033.bmp
34,1,data\CMATERdb\IsolatedTrain\1\bcc000034.bmp
35,1,data\CMATERdb\IsolatedTrain\1\bcc000035.bmp
36,1,data\CMATERdb\IsolatedTrain\1\bcc000036.bmp
37,1,data\CMATERdb\IsolatedTrain\1\bcc000037.bmp
27,1,data\CMATERdb\IsolatedTrain\1\bcc000027.bmp
38,1,data\CMATERdb\IsolatedTrain\1\bcc000038.bmp
40,1,data\CMATERdb\IsolatedTrain\1\bcc000040.bmp
41,1,data\CMATERdb\IsolatedTrain\1\bcc000041.bmp
42,1,data\CMATERdb\IsolatedTrain\1\bcc000042.bmp
43,1,data\CMATERdb\IsolatedTrain\1\bcc000043.bmp
44,1,data\CMATERdb\IsolatedTrain\1\bcc000044.bmp
45,1,data\CMATERdb\IsolatedTrain\1\bcc000045.bmp
46,1,data\CMATERdb\IsolatedTrain\1\bcc000046.bmp
47,1,data\CMATERdb\IsolatedTrain\1\bcc000047.bmp
48,1,data\CMATERdb\IsolatedTrain\1\bcc000048.bmp
49,1,data\CMATERdb\IsolatedTrain\1\bcc000049.bmp
39,1,data\CMATERdb\IsolatedTrain\1\bcc000039.bmp
26,1,data\CMATERdb\IsolatedTrain\1\bcc000026.bmp
25,1,data\CMATERdb\IsolatedTrain\1\bcc000025.bmp
24,1,data\CMATERdb\IsolatedTrain\1\bcc000024.bmp
1,1,data\CMATERdb\IsolatedTrain\1\bcc000001.bmp
2,1,data\CMATERdb\IsolatedTrain\1\bcc000002.bmp
3,1,data\CMATERdb\IsolatedTrain\1\bcc000003.bmp
4,1,data\CMATERdb\IsolatedTrain\1\bcc000004.bmp
5,1,data\CMATERdb\IsolatedTrain\1\bcc000005.bmp
6,1,data\CMATERdb\IsolatedTrain\1\bcc000006.bmp
7,1,data\CMATERdb\IsolatedTrain\1\bcc000007.bmp
8,1,data\CMATERdb\IsolatedTrain\1\bcc000008.bmp
9,1,data\CMATERdb\IsolatedTrain\1\bcc000009.bmp
104,1,data\CMATERdb\IsolatedTrain\1\bcc000104.bmp
11,1,data\CMATERdb\IsolatedTrain\1\bcc000011.bmp
12,1,data\CMATERdb\IsolatedTrain\1\bcc000012.bmp
13,1,data\CMATERdb\IsolatedTrain\1\bcc000013.bmp
14,1,data\CMATERdb\IsolatedTrain\1\bcc000014.bmp
15,1,data\CMATERdb\IsolatedTrain\1\bcc000015.bmp
16,1,data\CMATERdb\IsolatedTrain\1\bcc000016.bmp
17,1,data\CMATERdb\IsolatedTrain\1\bcc000017.bmp
18,1,data\CMATERdb\IsolatedTrain\1\bcc000018.bmp
19,1,data\CMATERdb\IsolatedTrain\1\bcc000019.bmp
20,1,data\CMATERdb\IsolatedTrain\1\bcc000020.bmp
21,1,data\CMATERdb\IsolatedTrain\1\bcc000021.bmp
22,1,data\CMATERdb\IsolatedTrain\1\bcc000022.bmp
23,1,data\CMATERdb\IsolatedTrain\1\bcc000023.bmp
50,1,data\CMATERdb\IsolatedTrain\1\bcc000050.bmp
51,1,data\CMATERdb\IsolatedTrain\1\bcc000051.bmp
10,1,data\CMATERdb\IsolatedTrain\1\bcc000010.bmp
53,1,data\CMATERdb\IsolatedTrain\1\bcc000053.bmp
80,1,data\CMATERdb\IsolatedTrain\1\bcc000080.bmp
81,1,data\CMATERdb\IsolatedTrain\1\bcc000081.bmp
82,1,data\CMATERdb\IsolatedTrain\1\bcc000082.bmp
83,1,data\CMATERdb\IsolatedTrain\1\bcc000083.bmp
84,1,data\CMATERdb\IsolatedTrain\1\bcc000084.bmp
85,1,data\CMATERdb\IsolatedTrain\1\bcc000085.bmp
86,1,data\CMATERdb\IsolatedTrain\1\bcc000086.bmp
87,1,data\CMATERdb\IsolatedTrain\1\bcc000087.bmp
88,1,data\CMATERdb\IsolatedTrain\1\bcc000088.bmp
89,1,data\CMATERdb\IsolatedTrain\1\bcc000089.bmp
90,1,data\CMATERdb\IsolatedTrain\1\bcc000090.bmp
91,1,data\CMATERdb\IsolatedTrain\1\bcc000091.bmp
92,1,data\CMATERdb\IsolatedTrain\1\bcc000092.bmp
93,1,data\CMATERdb\IsolatedTrain\1\bcc000093.bmp
94,1,data\CMATERdb\IsolatedTrain\1\bcc000094.bmp
95,1,data\CMATERdb\IsolatedTrain\1\bcc000095.bmp
96,1,data\CMATERdb\IsolatedTrain\1\bcc000096.bmp
97,1,data\CMATERdb\IsolatedTrain\1\bcc000097.bmp
99,1,data\CMATERdb\IsolatedTrain\1\bcc000099.bmp
100,1,data\CMATERdb\IsolatedTrain\1\bcc000100.bmp
101,1,data\CMATERdb\IsolatedTrain\1\bcc000101.bmp
102,1,data\CMATERdb\IsolatedTrain\1\bcc000102.bmp
52,1,data\CMATERdb\IsolatedTrain\1\bcc000052.bmp
79,1,data\CMATERdb\IsolatedTrain\1\bcc000079.bmp
78,1,data\CMATERdb\IsolatedTrain\1\bcc000078.bmp
98,1,data\CMATERdb\IsolatedTrain\1\bcc000098.bmp
76,1,data\CMATERdb\IsolatedTrain\1\bcc000076.bmp
54,1,data\CMATERdb\IsolatedTrain\1\bcc000054.bmp
77,1,data\CMATERdb\IsolatedTrain\1\bcc000077.bmp
55,1,data\CMATERdb\IsolatedTrain\1\bcc000055.bmp
56,1,data\CMATERdb\IsolatedTrain\1\bcc000056.bmp
58,1,data\CMATERdb\IsolatedTrain\1\bcc000058.bmp
59,1,data\CMATERdb\IsolatedTrain\1\bcc000059.bmp
60,1,data\CMATERdb\IsolatedTrain\1\bcc000060.bmp
61,1,data\CMATERdb\IsolatedTrain\1\bcc000061.bmp
62,1,data\CMATERdb\IsolatedTrain\1\bcc000062.bmp
63,1,data\CMATERdb\IsolatedTrain\1\bcc000063.bmp
64,1,data\CMATERdb\IsolatedTrain\1\bcc000064.bmp
57,1,data\CMATERdb\IsolatedTrain\1\bcc000057.bmp
66,1,data\CMATERdb\IsolatedTrain\1\bcc000066.bmp
65,1,data\CMATERdb\IsolatedTrain\1\bcc000065.bmp
73,1,data\CMATERdb\IsolatedTrain\1\bcc000073.bmp
71,1,data\CMATERdb\IsolatedTrain\1\bcc000071.bmp
70,1,data\CMATERdb\IsolatedTrain\1\bcc000070.bmp
72,1,data\CMATERdb\IsolatedTrain\1\bcc000072.bmp
68,1,data\CMATERdb\IsolatedTrain\1\bcc000068.bmp
75,1,data\CMATERdb\IsolatedTrain\1\bcc000075.bmp
67,1,data\CMATERdb\IsolatedTrain\1\bcc000067.bmp
69,1,data\CMATERdb\IsolatedTrain\1\bcc000069.bmp
74,1,data\CMATERdb\IsolatedTrain\1\bcc000074.bmp
16603,2,data\CMATERdb\IsolatedTrain\2\bcc000061.bmp
16602,2,data\CMATERdb\IsolatedTrain\2\bcc000060.bmp
16596,2,data\CMATERdb\IsolatedTrain\2\bcc000054.bmp
16601,2,data\CMATERdb\IsolatedTrain\2\bcc000059.bmp
16600,2,data\CMATERdb\IsolatedTrain\2\bcc000058.bmp
